uniqueID	Word	animal	bird	body part	clothing	clothing accessory	container	dessert	drink	electronic device	food	fruit	furniture	home decor	insect	kitchen appliance	kitchen tool	medical equipment	musical instrument	office supply	part of car	plant	sports equipment	tool	toy	vegetable	vehicle	weapon	candy	hardware	mammal	sea animal	fastener	jewelry	watercraft	condiment	garden tool	lighting	personal hygiene item	scientific equipment	arts and crafts supply	home appliance	seafood	breakfast food	footwear	safety equipment	school supply	headwear	protective clothing	construction equipment	game	farm animal	outerwear	women's clothing
bubble	bubble																																																					
bubble wrap	bubble wrap																																																					
bucket	bucket						1																																															
buckle	buckle					1																											1																					
buffet	buffet										1																																											
bug	bug	1													1																																							
buggy	buggy																										1																											
bull	bull	1																													1																					1		
bulldozer	bulldozer																										1																							1				
bullet	bullet																											1																										
bulletin board	bulletin board																																																					
bulletproof vest	bulletproof vest				1																																									1			1					
bumper	bumper																				1																																	
bun	bun										1																																											
bungee	bungee																																																					
bunkbed	bunkbed												1																																									
buoy	buoy																																																					
burner	burner															1																																						
burrito	burrito										1																																											
bus	bus																										1																											
bush	bush																					1																																
butter	butter										1																									1																		
butterfly	butterfly	1													1																																							
button1	button					1																											1								1													
button2	button																													1																								
cabbage	cabbage										1											1				1																												
cabinet	cabinet						1						1																																									
cable	cable																													1																								
cactus	cactus																					1																																
cage	cage						1																																															
cake	cake							1			1																																											
cake mix	cake mix							1			1																																											
calamari	calamari										1																																1											
calculator	calculator																																							1							1							
calf1	calf	1																													1																					1		
calf2	calf			1																																																		
calzone	calzone										1																																											
camcorder	camcorder									1																																												
camel	camel	1																													1																							
camera lens	camera lens																																																					
camera1	camera																																																					
camera2	camera									1																																												
camper	camper																										1																											
can	can						1																																															
can opener	can opener																1							1						1																								
candelabra	candelabra													1																								1																
candle	candle													1																								1																
candlestick	candlestick													1																																								
candy	candy										1																		1																									
candy bar	candy bar										1																		1																									
candy cane	candy cane										1																		1																									
cane	cane																	1																																				
canister	canister						1																																															
cannon	cannon																											1																										
cannonball	cannonball																											1																										
canoe	canoe																										1								1																			
cantaloupe	cantaloupe										1	1																																										
canvas	canvas																																								1													
cap	cap																																																					
cape	cape				1																																																1	
car	car																										1																											
car door	car door																				1																																	
car seat	car seat																				1																																	
caramel	caramel							1			1																		1																									
card	card																																																					
cardboard	cardboard																																								1													
cardigan	cardigan				1																																																	
cardinal	cardinal	1	1																																																			
carousel	carousel																																																					
carriage	carriage																										1																											
carrot	carrot										1															1																												
cart	cart																										1																											
cash machine	cash machine									1																																												
cash register	cash register																																																					
cashew	cashew										1																																											
casserole	casserole										1																																											
cassette	cassette																																																					
cat	cat	1																													1																							
catapult	catapult																											1																										
caterpillar	caterpillar	1													1																																							
catfish	catfish	1									1																					1											1											
cauliflower	cauliflower										1															1																												
caviar	caviar										1																																1											
cd player	cd player									1																																												
celery	celery										1															1																												
cello	cello																		1																																			
cellphone	cellphone									1																																												
cement mixer	cement mixer																																																	1				
centerpiece	centerpiece													1																																								
centrifuge	centrifuge									1																														1														
cereal	cereal										1																																	1										
chain	chain																							1						1			1																	1				
chainsaw	chainsaw									1														1				1		1							1													1				
chair	chair												1																																									
chalice	chalice																																																					
chalk	chalk																																								1						1							
chalkboard	chalkboard																																														1							
champagne	champagne								1																																													
chandelier	chandelier													1																								1																
chaps	chaps				1																																																	
charcoal	charcoal																																								1													
charger	charger																													1																								
chariot	chariot																										1																											
checkbook	checkbook																																																					
checkers	checkers																																																		1			
cheese	cheese							1			1																																											
cheeseburger	cheeseburger										1																																											
cheesecake	cheesecake							1			1																																											
cheetah	cheetah	1																													1																							
cherry	cherry										1	1																																										
chess piece	chess piece																																																					
chessboard	chessboard																																																		1			
chest1	chest			1																																																		
chest2	chest						1						1																																									
chick	chick	1	1																																																			
chicken wire	chicken wire																													1																								
chicken1	chicken										1																																											
chicken2	chicken	1																																																		1		
chickpea	chickpea										1															1																												
chihuahua	chihuahua	1																													1																							
chili	chili										1																																											
chime	chime																		1																																			
chimney	chimney																																																					
chin	chin			1																																																		
chinaware	chinaware																																																					
chinchilla	chinchilla	1																													1																							
chip	chip																																																					
chipmunk	chipmunk	1																													1																							
chips	chips										1																																											
chisel	chisel																							1						1											1									1				
chive	chive										1											1				1																												
chocolate	chocolate							1			1																		1																									
chopsticks	chopsticks																							1																														
christmas card	christmas card																																																					
christmas tree	christmas tree													1																																								
chute	chute																																																					
cigar	cigar																																																					
cigarette	cigarette																																																					
cigarette butt	cigarette butt																																																					
cigarette holder	cigarette holder																																																					
cilantro	cilantro										1											1				1																												
cinnamon	cinnamon										1																																											
clam	clam	1									1																					1											1											
clarinet	clarinet																		1																																			
clasp	clasp																													1			1																					
clay	clay																																								1													
cleat	cleat																						1																															
cleaver	cleaver																1							1				1		1																								
clipboard	clipboard																			1																																		
clipper1	clipper																							1						1							1																	
clipper2	clipper																																						1															
cloak	cloak				1																																																1	
clock	clock																																																					
closet	closet						1						1																																									
clothes	clothes				1																																																	
clothesline	clothesline																																																					
clothespin	clothespin																																1																					
cloud	cloud																																																					
clove	clove										1																																											
clover	clover																					1																																
coal	coal																																																					
coaster	coaster													1																																								
coat	coat				1																																																1	
coat rack	coat rack												1																																									
cobra	cobra	1																																																				
cockatoo	cockatoo	1	1																																																			
cockroach	cockroach	1													1																																							
cocktail	cocktail								1																																													
coconut	coconut										1	1																																										
cocoon	cocoon																																																					
coffee	coffee								1																																													
coffee bean	coffee bean										1																																											
coffee filter	coffee filter																																																					
coffee pot	coffee pot						1																																															
coffee table	coffee table												1																																									
coffeemaker	coffeemaker									1						1																										1												
coffin	coffin						1																																															
coil	coil																													1																								
coin	coin																																																					
coleslaw	coleslaw										1																																											
collar	collar																																																					
column	column																																																					
comb	comb																																						1															
combination lock	combination lock																													1			1																					
comic book	comic book																																																					
compass	compass																																																					
compost	compost																																																					
computer	computer									1																																									1			
computer screen	computer screen									1																																												
